datetime,open,high,low,close
2024-12-19 21:00:00+00:00,157.72,157.77,157.53,157.7
2024-12-19 22:00:00+00:00,157.69,157.735,157.53,157.53999
2024-12-19 23:00:00+00:00,157.53999,157.56,157.35001,157.42999
2024-12-20 00:00:00+00:00,157.41,157.44501,157.31,157.33
2024-12-20 01:00:00+00:00,157.345,157.455,157.33,157.42999
2024-12-20 02:00:00+00:00,157.45,157.455,157.39,157.44501
2024-12-20 03:00:00+00:00,157.45,157.67999,157.41,157.64999
2024-12-20 04:00:00+00:00,157.64999,157.92999,157.605,157.74001
2024-12-20 05:00:00+00:00,157.74001,157.78,157.145,157.265
2024-12-20 06:00:00+00:00,157.27499,157.38,156.88,156.97
2024-12-20 07:00:00+00:00,156.99001,157.155,156.84,157.065002
2024-12-20 08:00:00+00:00,157.070007,157.315,157.059998,157.295
2024-12-20 09:00:00+00:00,157.285,157.33501,156.98,157.024994
2024-12-20 10:00:00+00:00,157.050003,157.13499,156.87,156.97
2024-12-20 11:00:00+00:00,156.99001,157.059998,156.765,156.83501
2024-12-20 12:00:00+00:00,156.82001,156.97,156.74001,156.89
2024-12-20 13:00:00+00:00,156.91,156.91,156.62,156.71001
2024-12-20 14:00:00+00:00,156.72,156.78,156.64,156.745
2024-12-20 15:00:00+00:00,156.745,156.845,156.685,156.77499
2024-12-20 16:00:00+00:00,156.78,156.81,156.59,156.735
2024-12-20 17:00:00+00:00,156.74001,156.8,156.355,156.52
2024-12-20 18:00:00+00:00,156.50999,156.66499,156.32001,156.60001
2024-12-20 19:00:00+00:00,156.57001,156.78,156.405,156.505
2024-12-20 20:00:00+00:00,156.505,156.59,156.10001,156.10001
2024-12-20 21:00:00+00:00,156.11,156.16,155.95,156.074997
2024-12-20 22:00:00+00:00,156.089996,156.22,156.029999,156.080002
2024-12-20 23:00:00+00:00,156.089996,156.11,155.98,156.014999
2024-12-21 00:00:00+00:00,156.0,156.36,156.0,156.36
2024-12-21 01:00:00+00:00,156.38,156.47,156.295,156.41499
2024-12-23 02:00:00+00:00,156.38,156.55,156.38,156.545
2024-12-23 03:00:00+00:00,156.52,156.57001,156.41,156.565
2024-12-23 04:00:00+00:00,156.59,156.66,156.425,156.605
2024-12-23 05:00:00+00:00,156.61,156.69501,156.35001,156.46001
2024-12-23 06:00:00+00:00,156.44501,156.565,156.34,156.55499
2024-12-23 07:00:00+00:00,156.55499,156.62,156.49001,156.52499
2024-12-23 08:00:00+00:00,156.53,156.625,156.495,156.58
2024-12-23 09:00:00+00:00,156.58,156.66,156.55499,156.64999
2024-12-23 10:00:00+00:00,156.64,156.66,156.53,156.61501
2024-12-23 11:00:00+00:00,156.62,156.815,156.61501,156.795
2024-12-23 12:00:00+00:00,156.8,156.8,156.47,156.55
2024-12-23 13:00:00+00:00,156.57001,156.785,156.495,156.7
2024-12-23 14:00:00+00:00,156.69,156.86501,156.66,156.82001
2024-12-23 15:00:00+00:00,156.825,156.925,156.75,156.845
2024-12-23 16:00:00+00:00,156.86,157.245,156.85001,157.14999
2024-12-23 17:00:00+00:00,157.14,157.265,157.11,157.22
2024-12-23 18:00:00+00:00,157.22,157.27499,157.059998,157.19
2024-12-23 19:00:00+00:00,157.16,157.30499,157.085007,157.13
2024-12-23 20:00:00+00:00,157.13,157.22501,157.029999,157.029999
2024-12-23 21:00:00+00:00,157.029999,157.19501,156.985,157.155
2024-12-23 22:00:00+00:00,157.16,157.215,157.070007,157.13
2024-12-23 23:00:00+00:00,157.13,157.19501,157.059998,157.10001
2024-12-24 00:00:00+00:00,157.095001,157.205,157.050003,157.13499
2024-12-24 01:00:00+00:00,157.14,157.19,157.13,157.185
2024-12-24 02:00:00+00:00,157.13,157.185,157.125,157.14999
2024-12-24 03:00:00+00:00,157.14999,157.245,157.11,157.185
2024-12-24 04:00:00+00:00,157.175,157.39,157.16,157.31
2024-12-24 05:00:00+00:00,157.315,157.315,157.059998,157.13
2024-12-24 06:00:00+00:00,157.13499,157.19,157.059998,157.125
2024-12-24 07:00:00+00:00,157.125,157.13499,157.059998,157.074997
2024-12-24 08:00:00+00:00,157.085007,157.089996,156.935,157.0050049
2024-12-24 09:00:00+00:00,157.0099945,157.074997,156.89,157.0050049
2024-12-24 10:00:00+00:00,157.0050049,157.185,156.91,157.085007
2024-12-24 11:00:00+00:00,157.089996,157.16499,157.0099945,157.14
2024-12-24 12:00:00+00:00,157.14,157.19501,156.99001,157.070007
2024-12-24 13:00:00+00:00,157.059998,157.145,157.0,157.095001
2024-12-24 14:00:00+00:00,157.089996,157.145,157.029999,157.105
2024-12-24 15:00:00+00:00,157.089996,157.245,157.059998,157.14999
2024-12-24 16:00:00+00:00,157.16,157.215,157.074997,157.155
2024-12-25 19:00:00+00:00,157.22501,157.425,157.22501,157.425
2024-12-26 02:00:00+00:00,157.2,157.295,157.19,157.255
2024-12-26 03:00:00+00:00,157.25,157.28,157.11501,157.125
2024-12-26 04:00:00+00:00,157.125,157.37,157.070007,157.33501
2024-12-26 05:00:00+00:00,157.325,157.47,157.25,157.42
2024-12-26 06:00:00+00:00,157.42,157.47501,157.37,157.42
2024-12-26 07:00:00+00:00,157.425,157.44,157.34,157.37
2024-12-26 08:00:00+00:00,157.355,157.47,157.355,157.42999
2024-12-26 09:00:00+00:00,157.44,157.47501,157.31,157.35001
2024-12-26 10:00:00+00:00,157.355,157.485,157.33501,157.37
2024-12-26 11:00:00+00:00,157.375,157.515,157.34,157.395
2024-12-26 12:00:00+00:00,157.37,157.485,157.34,157.36501
2024-12-26 13:00:00+00:00,157.35001,157.535,157.31,157.435
2024-12-26 14:00:00+00:00,157.42999,157.515,157.39999,157.455
2024-12-26 15:00:00+00:00,157.44501,157.655,157.44,157.58501
2024-12-26 16:00:00+00:00,157.59,157.705,157.59,157.655
2024-12-26 17:00:00+00:00,157.655,157.875,157.59,157.83501
2024-12-26 18:00:00+00:00,157.845,157.97501,157.83501,157.92999
2024-12-26 19:00:00+00:00,157.94,158.070007,157.88,158.070007
2024-12-26 20:00:00+00:00,158.074997,158.095001,157.99001,158.020004
2024-12-26 21:00:00+00:00,158.0099945,158.085007,157.94,158.044998
2024-12-26 22:00:00+00:00,158.029999,158.059998,157.875,157.92999
2024-12-26 23:00:00+00:00,157.935,158.044998,157.92999,157.985
2024-12-27 00:00:00+00:00,157.985,158.014999,157.89,157.97
2024-12-27 01:00:00+00:00,157.965,158.039993,157.95,158.014999
2024-12-27 02:00:00+00:00,157.92999,157.92999,157.87,157.89999
2024-12-27 03:00:00+00:00,157.88,157.89,157.66499,157.77
2024-12-27 04:00:00+00:00,157.75999,157.95,157.655,157.92
2024-12-27 05:00:00+00:00,157.92,157.95,157.69,157.765
2024-12-27 06:00:00+00:00,157.75,157.765,157.50999,157.60001
2024-12-27 07:00:00+00:00,157.61,157.72,157.60001,157.64999
2024-12-27 08:00:00+00:00,157.655,157.67999,157.56,157.575
2024-12-27 09:00:00+00:00,157.575,157.80499,157.56,157.765
2024-12-27 10:00:00+00:00,157.77,157.815,157.66,157.745
2024-12-27 11:00:00+00:00,157.75999,157.86,157.735,157.81
2024-12-27 12:00:00+00:00,157.825,157.925,157.78,157.85001
2024-12-27 13:00:00+00:00,157.86,157.91499,157.75,157.88
2024-12-27 14:00:00+00:00,157.88,157.895,157.705,157.785
2024-12-27 15:00:00+00:00,157.75,157.83501,157.62,157.66
2024-12-27 16:00:00+00:00,157.655,157.80499,157.59,157.795
2024-12-27 17:00:00+00:00,157.795,157.88499,157.69,157.8
2024-12-27 18:00:00+00:00,157.8,157.895,157.69,157.82001
2024-12-27 19:00:00+00:00,157.82001,157.88,157.53,157.575
2024-12-27 20:00:00+00:00,157.57001,157.74001,157.355,157.735
2024-12-27 21:00:00+00:00,157.735,157.875,157.675,157.83
2024-12-27 22:00:00+00:00,157.825,157.88499,157.77,157.85001
2024-12-27 23:00:00+00:00,157.83501,157.955,157.83501,157.955
2024-12-28 00:00:00+00:00,157.94501,158.014999,157.86,157.92
2024-12-28 01:00:00+00:00,157.91,157.92999,157.81,157.83501
2024-12-30 02:00:00+00:00,157.74001,157.8,157.7,157.705
2024-12-30 03:00:00+00:00,157.7,157.91,157.7,157.88499
2024-12-30 04:00:00+00:00,157.91,157.99001,157.7,157.94501
2024-12-30 05:00:00+00:00,157.94501,157.965,157.735,157.795
2024-12-30 06:00:00+00:00,157.795,157.825,157.69501,157.80499
2024-12-30 07:00:00+00:00,157.81,157.83501,157.8,157.815
2024-12-30 08:00:00+00:00,157.815,157.825,157.75999,157.795
2024-12-30 09:00:00+00:00,157.8,157.955,157.77499,157.855
2024-12-30 10:00:00+00:00,157.87,158.074997,157.825,157.88
2024-12-30 11:00:00+00:00,157.88,157.895,157.81,157.89
2024-12-30 12:00:00+00:00,157.895,157.965,157.815,157.905
2024-12-30 13:00:00+00:00,157.905,158.014999,157.86,157.88
2024-12-30 14:00:00+00:00,157.875,157.905,157.75999,157.785
2024-12-30 15:00:00+00:00,157.785,157.785,157.56,157.64
2024-12-30 16:00:00+00:00,157.645,157.655,157.5,157.55499
2024-12-30 17:00:00+00:00,157.55499,157.655,157.455,157.46001
2024-12-30 18:00:00+00:00,157.44,157.55499,157.070007,157.10001
2024-12-30 19:00:00+00:00,157.089996,157.28,156.67999,157.17999
2024-12-30 20:00:00+00:00,157.17999,157.315,157.0099945,157.265
2024-12-30 21:00:00+00:00,157.25999,157.375,157.125,157.155
2024-12-30 22:00:00+00:00,157.14,157.19501,156.94501,156.985
2024-12-30 23:00:00+00:00,156.97501,157.13499,156.925,157.089996
2024-12-31 00:00:00+00:00,157.089996,157.155,156.80499,156.825
2024-12-31 01:00:00+00:00,156.84,156.88499,156.75999,156.85001
2024-12-31 02:00:00+00:00,156.845,156.92999,156.845,156.895
2024-12-31 03:00:00+00:00,156.91,157.065002,156.88,157.0099945
2024-12-31 04:00:00+00:00,157.014999,157.050003,156.7,156.7
2024-12-31 05:00:00+00:00,156.69,156.75,156.38499,156.44501
2024-12-31 06:00:00+00:00,156.45,156.505,156.375,156.395
2024-12-31 07:00:00+00:00,156.39,156.49001,156.34,156.44501
2024-12-31 08:00:00+00:00,156.44,156.465,156.145,156.24001
2024-12-31 09:00:00+00:00,156.235,156.285,156.13499,156.235
2024-12-31 10:00:00+00:00,156.24001,156.38,156.155,156.36
2024-12-31 11:00:00+00:00,156.36,156.395,156.065002,156.215
2024-12-31 12:00:00+00:00,156.205,156.255,156.024994,156.14
2024-12-31 13:00:00+00:00,156.16,156.685,156.13499,156.64
2024-12-31 14:00:00+00:00,156.645,156.965,156.61501,156.84
2024-12-31 15:00:00+00:00,156.83501,156.86501,156.63499,156.80499
2024-12-31 16:00:00+00:00,156.8,156.925,156.56,156.89
2025-01-01 21:00:00+00:00,156.88,156.88,156.88,156.88
2025-01-01 22:00:00+00:00,156.88,156.91,156.88,156.91
2025-01-02 01:00:00+00:00,157.28999,157.3,157.24001,157.25999
2025-01-02 02:00:00+00:00,157.24001,157.28,157.19,157.27
2025-01-02 03:00:00+00:00,157.28999,157.78,157.25,157.7
2025-01-02 04:00:00+00:00,157.7,157.78,157.3,157.44
2025-01-02 05:00:00+00:00,157.44,157.66,157.42,157.50999
2025-01-02 06:00:00+00:00,157.50999,157.50999,157.25999,157.28
2025-01-02 07:00:00+00:00,157.28999,157.31,157.13,157.16
2025-01-02 08:00:00+00:00,157.16,157.16,157.0,157.029999
2025-01-02 09:00:00+00:00,157.020004,157.21001,156.98,157.21001
2025-01-02 10:00:00+00:00,157.22,157.22,156.66,156.66
2025-01-02 11:00:00+00:00,156.67,156.75,156.44,156.67999
2025-01-02 12:00:00+00:00,156.67999,156.83,156.47,156.78
2025-01-02 13:00:00+00:00,156.78,156.92,156.75,156.8
2025-01-02 14:00:00+00:00,156.8,157.16,156.78999,157.14
2025-01-02 15:00:00+00:00,157.14,157.28,157.050003,157.21001
2025-01-02 16:00:00+00:00,157.2,157.22,157.020004,157.080002
2025-01-02 17:00:00+00:00,157.089996,157.24001,156.72,156.83
2025-01-02 18:00:00+00:00,156.84,157.12,156.64,157.029999
2025-01-02 19:00:00+00:00,157.0099945,157.19,156.78,157.14999
2025-01-02 20:00:00+00:00,157.14999,157.75,157.13,157.66
2025-01-02 21:00:00+00:00,157.67,157.85001,157.49001,157.57001
2025-01-02 22:00:00+00:00,157.57001,157.63,157.47,157.5
2025-01-02 23:00:00+00:00,157.5,157.67999,157.47,157.62
2025-01-03 00:00:00+00:00,157.62,157.66,157.56,157.62
2025-01-03 01:00:00+00:00,157.63,157.63,157.5,157.53999
2025-01-03 02:00:00+00:00,157.50999,157.53,157.46001,157.46001
2025-01-03 03:00:00+00:00,157.46001,157.57001,157.35001,157.35001
2025-01-03 04:00:00+00:00,157.36,157.41,157.17999,157.22
2025-01-03 05:00:00+00:00,157.21001,157.41,157.19,157.27
2025-01-03 06:00:00+00:00,157.28,157.36,157.25,157.31
2025-01-03 07:00:00+00:00,157.31,157.46001,157.19,157.31
2025-01-03 08:00:00+00:00,157.31,157.39,157.25,157.28
2025-01-03 09:00:00+00:00,157.28,157.36,157.24001,157.3
2025-01-03 10:00:00+00:00,157.31,157.31,157.13,157.17999
2025-01-03 11:00:00+00:00,157.17999,157.27,157.039993,157.14
2025-01-03 12:00:00+00:00,157.14,157.42999,157.13,157.34
2025-01-03 13:00:00+00:00,157.33,157.34,157.089996,157.25
2025-01-03 14:00:00+00:00,157.25,157.38,157.17,157.38
2025-01-03 15:00:00+00:00,157.37,157.39,157.2,157.25
2025-01-03 16:00:00+00:00,157.24001,157.25,157.059998,157.16
2025-01-03 17:00:00+00:00,157.17,157.24001,157.029999,157.17999
2025-01-03 18:00:00+00:00,157.19,157.31,157.12,157.16
2025-01-03 19:00:00+00:00,157.31,157.5,157.17,157.41
2025-01-03 20:00:00+00:00,157.39999,157.41,157.2,157.2
2025-01-03 21:00:00+00:00,157.2,157.22,156.88,157.17
2025-01-03 22:00:00+00:00,157.17,157.25,157.11,157.17
2025-01-03 23:00:00+00:00,157.17,157.23,157.11,157.21001
2025-01-04 00:00:00+00:00,157.2,157.35001,157.14,157.34
2025-01-04 01:00:00+00:00,157.34,157.38,157.25,157.3
2025-01-06 02:00:00+00:00,157.22,157.39,157.19,157.34
2025-01-06 03:00:00+00:00,157.36,157.53,157.34,157.50999
2025-01-06 04:00:00+00:00,157.50999,157.83,157.5,157.60001
2025-01-06 05:00:00+00:00,157.59,157.67,157.49001,157.62
2025-01-06 06:00:00+00:00,157.62,157.78,157.56,157.73
2025-01-06 07:00:00+00:00,157.72,157.78,157.66,157.72
2025-01-06 08:00:00+00:00,157.72,157.75,157.66,157.72
2025-01-06 09:00:00+00:00,157.72,157.81,157.67999,157.78999
2025-01-06 10:00:00+00:00,157.78,157.8,157.63,157.66
2025-01-06 11:00:00+00:00,157.64,157.7,157.53,157.67
2025-01-06 12:00:00+00:00,157.66,157.77,157.62,157.67
2025-01-06 13:00:00+00:00,157.67,157.77,157.59,157.74001
2025-01-06 14:00:00+00:00,157.74001,157.91,157.67999,157.91
2025-01-06 15:00:00+00:00,157.91,157.97,157.16,157.2
2025-01-06 16:00:00+00:00,157.21001,157.22,156.62,156.78999
2025-01-06 17:00:00+00:00,156.78999,156.81,156.24001,156.61
2025-01-06 18:00:00+00:00,156.62,157.42999,156.47,157.28999
2025-01-06 19:00:00+00:00,157.28999,157.66,157.2,157.53999
2025-01-06 20:00:00+00:00,157.53,157.62,157.34,157.55
2025-01-06 21:00:00+00:00,157.53999,157.61,157.47,157.5
2025-01-06 22:00:00+00:00,157.50999,157.67,157.42999,157.53999
2025-01-06 23:00:00+00:00,157.53999,157.59,157.47,157.55
2025-01-07 00:00:00+00:00,157.53999,157.64,157.5,157.63
2025-01-07 01:00:00+00:00,157.63,157.66,157.59,157.64
2025-01-07 02:00:00+00:00,157.63,157.64999,157.52,157.62
2025-01-07 03:00:00+00:00,157.62,157.81,157.62,157.74001
2025-01-07 04:00:00+00:00,157.75,158.22,157.74001,158.11
2025-01-07 05:00:00+00:00,158.11,158.42,158.039993,158.32001
2025-01-07 06:00:00+00:00,158.31,158.32001,158.14,158.28
2025-01-07 07:00:00+00:00,158.28,158.31,158.089996,158.12
2025-01-07 08:00:00+00:00,158.13,158.16,158.020004,158.080002
2025-01-07 09:00:00+00:00,158.089996,158.16,157.78,157.87
2025-01-07 10:00:00+00:00,157.86,157.86,157.67999,157.75999
2025-01-07 11:00:00+00:00,157.75999,157.8,157.46001,157.5
2025-01-07 12:00:00+00:00,157.5,157.61,157.41,157.42999
2025-01-07 13:00:00+00:00,157.44,157.69,157.38,157.61
2025-01-07 14:00:00+00:00,157.62,157.78,157.56,157.75
2025-01-07 15:00:00+00:00,157.75,157.85001,157.62,157.72
2025-01-07 16:00:00+00:00,157.72,157.85001,157.69,157.74001
2025-01-07 17:00:00+00:00,157.75,157.78,157.59,157.66
2025-01-07 18:00:00+00:00,157.67,157.84,157.53,157.77
2025-01-07 19:00:00+00:00,158.0099945,158.42999,157.88,157.92
2025-01-07 20:00:00+00:00,157.94,158.050003,157.62,157.84
2025-01-07 21:00:00+00:00,157.83,157.86,157.62,157.69
2025-01-07 22:00:00+00:00,157.7,157.91,157.59,157.84
2025-01-07 23:00:00+00:00,157.84,157.87,157.75999,157.77
2025-01-08 00:00:00+00:00,157.78,157.88,157.74001,157.87
2025-01-08 01:00:00+00:00,157.88,158.10001,157.88,158.050003
2025-01-08 02:00:00+00:00,158.029999,158.070007,157.99001,158.039993
2025-01-08 03:00:00+00:00,158.050003,158.25,158.039993,158.23
2025-01-08 04:00:00+00:00,158.22,158.24001,157.91,158.17
2025-01-08 05:00:00+00:00,158.17999,158.17999,157.94,157.97
2025-01-08 06:00:00+00:00,157.97,158.14,157.92999,158.11
2025-01-08 07:00:00+00:00,158.11,158.22,158.070007,158.19
2025-01-08 08:00:00+00:00,158.2,158.25999,158.16,158.23
2025-01-08 09:00:00+00:00,158.22,158.27,158.089996,158.17
2025-01-08 10:00:00+00:00,158.17,158.17,157.99001,158.050003
2025-01-08 11:00:00+00:00,158.050003,158.13,157.92999,158.12
2025-01-08 12:00:00+00:00,158.11,158.28,158.10001,158.25
2025-01-08 13:00:00+00:00,158.25,158.25,158.050003,158.16
2025-01-08 14:00:00+00:00,158.17,158.35001,158.14999,158.33
2025-01-08 15:00:00+00:00,158.33,158.55,158.31,158.37
2025-01-08 16:00:00+00:00,158.37,158.55,158.35001,158.50999
2025-01-08 17:00:00+00:00,158.50999,158.50999,158.17999,158.23
2025-01-08 18:00:00+00:00,158.21001,158.47,158.14,158.36
2025-01-08 19:00:00+00:00,158.35001,158.42,158.22,158.37
2025-01-08 20:00:00+00:00,158.37,158.44,158.28999,158.32001
2025-01-08 21:00:00+00:00,158.32001,158.5,158.31,158.39
2025-01-08 22:00:00+00:00,158.39,158.50999,158.28,158.47
2025-01-08 23:00:00+00:00,158.46001,158.52,158.36,158.47
2025-01-09 00:00:00+00:00,158.46001,158.46001,158.33,158.36
2025-01-09 01:00:00+00:00,158.37,158.44,158.34,158.35001
2025-01-09 02:00:00+00:00,158.34,158.34,158.25,158.31
2025-01-09 03:00:00+00:00,158.3,158.39999,158.17999,158.19
2025-01-09 04:00:00+00:00,158.2,158.33,158.11,158.27
2025-01-09 05:00:00+00:00,158.25999,158.28999,158.070007,158.11
2025-01-09 06:00:00+00:00,158.10001,158.14,158.0,158.089996
2025-01-09 07:00:00+00:00,158.089996,158.10001,157.92,157.97
2025-01-09 08:00:00+00:00,157.97,157.98,157.75999,157.92999
2025-01-09 09:00:00+00:00,157.92999,158.14999,157.89999,158.059998
2025-01-09 10:00:00+00:00,158.059998,158.2,158.029999,158.14
2025-01-09 11:00:00+00:00,158.14999,158.2,158.029999,158.2
2025-01-09 12:00:00+00:00,158.19,158.28999,158.059998,158.13
2025-01-09 13:00:00+00:00,158.14,158.17999,158.0099945,158.089996
2025-01-09 14:00:00+00:00,158.080002,158.11,157.95,158.0
2025-01-09 15:00:00+00:00,158.0,158.029999,157.83,157.91
2025-01-09 16:00:00+00:00,157.91,157.92999,157.66,157.75
2025-01-09 17:00:00+00:00,157.74001,157.85001,157.58,157.66
2025-01-09 18:00:00+00:00,157.66,157.87,157.66,157.82001
2025-01-09 19:00:00+00:00,157.82001,157.98,157.82001,157.97
2025-01-09 20:00:00+00:00,157.97,158.029999,157.92999,158.020004
2025-01-09 21:00:00+00:00,158.0099945,158.14,157.99001,158.11
2025-01-09 22:00:00+00:00,158.11,158.17,158.059998,158.080002
2025-01-09 23:00:00+00:00,158.070007,158.13,158.059998,158.12
2025-01-10 00:00:00+00:00,158.11,158.13,158.080002,158.12
2025-01-10 01:00:00+00:00,158.13,158.14999,158.080002,158.14999
2025-01-10 02:00:00+00:00,158.070007,158.2,158.070007,158.14
2025-01-10 03:00:00+00:00,158.14,158.17,158.0099945,158.050003
2025-01-10 04:00:00+00:00,158.039993,158.23,157.95,158.0099945
2025-01-10 05:00:00+00:00,158.0099945,158.17,157.94,158.13
2025-01-10 06:00:00+00:00,158.14,158.28999,158.10001,158.27
2025-01-10 07:00:00+00:00,158.25999,158.27,158.19,158.23
2025-01-10 08:00:00+00:00,158.24001,158.41,158.24001,158.38
2025-01-10 09:00:00+00:00,158.39,158.42,158.36,158.41
2025-01-10 10:00:00+00:00,158.42,158.42999,158.31,158.33
2025-01-10 11:00:00+00:00,158.33,158.45,158.27,158.39
2025-01-10 12:00:00+00:00,158.39,158.42999,157.75999,157.83
2025-01-10 13:00:00+00:00,157.82001,157.95,157.62,157.92999
2025-01-10 14:00:00+00:00,157.92999,158.12,157.87,158.080002
2025-01-10 15:00:00+00:00,158.080002,158.17999,157.99001,158.0
2025-01-10 16:00:00+00:00,157.99001,158.029999,157.89999,157.99001
2025-01-10 17:00:00+00:00,157.98,158.88,157.89999,158.56
2025-01-10 18:00:00+00:00,158.56,158.64999,157.75999,157.97
2025-01-10 19:00:00+00:00,158.13,158.16,157.23,157.56
2025-01-10 20:00:00+00:00,157.56,157.88,157.55,157.69
2025-01-10 21:00:00+00:00,157.69,157.8,157.58,157.67
2025-01-10 22:00:00+00:00,157.67,157.96001,157.67,157.89
2025-01-10 23:00:00+00:00,157.89999,157.99001,157.81,157.88
2025-01-11 00:00:00+00:00,157.87,157.94,157.81,157.81
2025-01-11 01:00:00+00:00,157.82001,157.82001,157.69,157.73
2025-01-13 02:00:00+00:00,157.75999,157.84,157.72,157.73
2025-01-13 03:00:00+00:00,157.74001,157.92999,157.7,157.92
2025-01-13 04:00:00+00:00,157.89999,157.97,157.78999,157.78999
2025-01-13 05:00:00+00:00,157.78999,157.87,157.27,157.45
2025-01-13 06:00:00+00:00,157.44,157.64999,157.39999,157.52
2025-01-13 07:00:00+00:00,157.52,157.64,157.41,157.41
2025-01-13 08:00:00+00:00,157.42,157.58,157.41,157.55
2025-01-13 09:00:00+00:00,157.55,157.55,157.28,157.42
2025-01-13 10:00:00+00:00,157.41,157.60001,157.25,157.53
2025-01-13 11:00:00+00:00,157.53,157.55,157.3,157.46001
2025-01-13 12:00:00+00:00,157.46001,157.67,157.39,157.61
2025-01-13 13:00:00+00:00,157.61,157.62,157.039993,157.11
2025-01-13 14:00:00+00:00,157.11,157.42999,157.0099945,157.42999
2025-01-13 15:00:00+00:00,157.45,157.47,157.22,157.32001
2025-01-13 16:00:00+00:00,157.32001,157.46001,156.92999,157.029999
2025-01-13 17:00:00+00:00,157.029999,157.21001,156.92,157.2
2025-01-13 18:00:00+00:00,157.2,157.42999,157.11,157.35001
2025-01-13 19:00:00+00:00,157.35001,157.59,157.31,157.50999
2025-01-13 20:00:00+00:00,157.53,157.78999,157.47,157.52
2025-01-13 21:00:00+00:00,157.50999,157.57001,157.31,157.32001
2025-01-13 22:00:00+00:00,157.33,157.53,157.3,157.48
2025-01-13 23:00:00+00:00,157.48,157.82001,157.48,157.81
2025-01-14 00:00:00+00:00,157.81,157.81,157.61,157.64999
2025-01-14 01:00:00+00:00,157.66,157.7,157.47,157.49001
2025-01-14 02:00:00+00:00,157.52,157.52,157.19,157.33
2025-01-14 03:00:00+00:00,157.32001,157.46001,157.12,157.31
2025-01-14 04:00:00+00:00,157.31,157.58,157.16,157.53999
2025-01-14 05:00:00+00:00,157.53,158.020004,157.22,157.44
2025-01-14 06:00:00+00:00,157.45,157.73,157.45,157.69
